iter	Passed	Remaining
0	118	5782
1	119	2866
2	120	1891
3	122	1403
4	123	1109
5	124	911
6	125	770
7	126	664
8	127	581
9	129	518
10	130	463
11	132	420
12	134	382
13	135	348
14	136	318
15	137	293
16	139	270
17	140	249
18	141	230
19	142	213
20	143	198
21	144	183
22	145	170
23	146	158
24	147	147
25	148	137
26	149	127
27	150	118
28	152	110
29	153	102
30	154	94
31	156	87
32	157	81
33	158	74
34	159	68
35	160	62
36	161	56
37	162	51
38	164	46
39	165	41
40	166	36
41	167	31
42	168	27
43	169	23
44	170	18
45	172	14
46	173	11
47	174	7
48	175	3
49	177	0
